time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/clip_fraction,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/value_loss,train/learning_rate,train/clip_range,train/approx_kl,eval/mean_reward,eval/mean_ep_length
57344,28,107,-8.792492880000001,504.48,531,0.008447265625,270,-4.535788780450821,-0.004762319751898758,0.9177218079566956,0.3662422001361847,1.2521628506481648,3e-05,0.1,0.0010462871,,
59392,29,108,-8.44768616,505.86,549,0.00126953125,280,-4.5314522087574005,-0.002675576192268636,0.8459606021642685,0.4405566155910492,2.076830757409334,3e-05,0.1,0.00031838386,,
60000,,,,,,0.0,290,-4.533387219905853,-0.0023807570527424105,0.8042205572128296,1.3283212184906006,3.0209142245352267,3e-05,0.1,0.00023829454,-11.756083822250366,397.4
61440,30,106,-7.728905620000001,504.25,575,,,,,,,,,,,,
63488,31,107,-7.038616120000001,501.49,590,0.0,300,-4.534129095077515,-0.0014711436539073474,0.7769385427236557,0.35198938846588135,1.2876998748630286,3e-05,0.1,0.00013960036,,
65536,32,107,-6.596365130000001,502.87,609,0.00634765625,310,-4.535130870342255,-0.003854107402730733,0.7341432571411133,0.21249930560588837,0.6935174060985446,3e-05,0.1,0.00081938144,,
67584,33,108,-6.233274649999999,505.14,625,0.002880859375,320,-4.530097085237503,-0.004580803477438167,0.769586369395256,0.0918789952993393,0.3562184702605009,3e-05,0.1,0.00086629635,,
69632,34,108,-6.5630133,514.41,643,0.0,330,-4.526302206516266,-0.002682915300829336,0.8519802689552307,0.1979527473449707,0.8078133430331945,3e-05,0.1,0.00039602316,,
70000,,,,,,0.00068359375,340,-4.522376346588135,-0.0031459435966098683,0.9044046029448509,0.11506772041320801,0.5177302347496152,3e-05,0.1,0.00050255295,-16.118537664413452,532.4
71680,35,106,-7.50613239,521.75,671,,,,,,,,,,,,
73728,36,106,-7.9704612,513.43,690,0.0,350,-4.520850431919098,-0.0020579759919201026,0.7249965667724609,6.947360515594482,8.414338146150111,3e-05,0.1,0.00026929437,,
75776,37,107,-8.50924592,509.24,708,0.00185546875,360,-4.52032271027565,-0.002925420639803633,0.8395116776227951,0.668968915939331,6.468767546117306,3e-05,0.1,0.00058094726,,
77824,38,106,-7.914221950000002,509.56,727,0.004541015625,370,-4.515878456830978,-0.0029899752087658273,0.8771180659532547,0.7390983700752258,1.875627949088812,3e-05,0.1,0.00035128355,,
79872,39,107,-7.925428940000001,510.69,746,0.000927734375,380,-4.519866740703582,-0.0031273286906071006,0.6694182455539703,0.018836211413145065,0.7660180862993002,3e-05,0.1,0.00059155974,,
80000,,,,,,0.001806640625,390,-4.518018537759781,-0.0031969343428499995,0.9031760841608047,0.08471142500638962,0.576942834816873,3e-05,0.1,0.00044703687,-7.5861130356788635,465.8
81920,40,106,-7.8253163500000005,511.05,770,,,,,,,,,,,,
83968,41,106,-7.840996430000001,516.43,786,0.00283203125,400,-4.521044635772705,-0.004416500101797283,0.9075023382902145,0.8079413175582886,1.2544771246612072,3e-05,0.1,0.00077604165,,
86016,42,106,-7.61274841,515.63,805,0.008984375,410,-4.508942425251007,-0.0037796944845467804,0.8808522671461105,1.1890634298324585,3.3269138395786286,3e-05,0.1,0.0009677394,,
88064,43,106,-7.37470309,521.68,824,0.00146484375,420,-4.511328685283661,-0.0038371470291167498,0.7676359117031097,0.0846138596534729,0.44335142597556115,3e-05,0.1,0.0005659977,,
90000,,,,,,0.01640625,430,-4.506328773498535,-0.005599488079315052,0.8855331167578697,0.29295310378074646,0.769189054891467,3e-05,0.1,0.0014332575,0.9259343624114991,633.0
90112,44,105,-7.331787919999998,523.28,855,,,,,,,,,,,,
92160,45,105,-6.9417292,526.23,873,0.003173828125,440,-4.4944905042648315,-0.003604982249089517,0.8470109105110168,0.25436505675315857,2.2835793390870096,3e-05,0.1,0.00061444374,,
94208,46,105,-7.967085999999999,526.0,889,0.006298828125,450,-4.507230144739151,-0.003375887667061761,0.6153076887130737,0.6088223457336426,1.9195477660745381,3e-05,0.1,0.0006468189,,
96256,47,105,-6.949833679999999,522.83,910,0.001904296875,460,-4.49648255109787,-0.003389783870079555,0.8682446181774139,1.166536569595337,6.20385667681694,3e-05,0.1,0.00044048534,,
98304,48,106,-7.108828089999999,520.7,926,0.004638671875,470,-4.4990006506443025,-0.0038912506628548727,0.895156592130661,0.30293965339660645,0.6610614843666553,3e-05,0.1,0.0006930183,,
100000,,,,,,0.0005859375,480,-4.506436049938202,-0.0028677031266852284,0.7702496349811554,0.19912520051002502,1.1234053928405046,3e-05,0.1,0.00041965776,-20.397148656845093,555.4
100352,49,104,-7.0513878299999995,520.71,956,,,,,,,,,,,,
102400,50,105,-7.286290250000002,534.87,971,9.765625e-05,490,-4.497560077905655,-0.002110970665307832,0.7686484456062317,0.5458119511604309,1.4108920630067587,3e-05,0.1,0.0002447132,,
104448,51,105,-7.033274180000001,528.48,986,0.0,500,-4.4907405316829685,-0.0016495827148901299,0.8949587121605873,0.32092714309692383,2.0160668529570103,3e-05,0.1,0.00016974146,,
106496,52,105,-6.501383540000001,527.54,1006,0.002587890625,510,-4.496770876646042,-0.003838240723416675,0.912937730550766,0.5679088830947876,1.858146696165204,3e-05,0.1,0.00051941944,,
108544,53,105,-6.28270539,532.4,1024,0.041455078125,520,-4.495640766620636,-0.007592951680999249,0.8500173538923264,0.015481647104024887,0.2188023954629898,3e-05,0.1,0.0018245794,,
110000,,,,,,0.006884765625,530,-4.479746609926224,-0.004633387824287638,0.7994509190320969,0.21913376450538635,0.768981197476387,3e-05,0.1,0.0008121455,-10.903930747509003,605.4
110592,54,104,-6.415943429999999,534.06,1057,,,,,,,,,,,,
112640,55,105,-6.300190459999999,539.54,1072,0.00048828125,540,-4.481582033634186,-0.0022227623616345228,0.8527511805295944,1.153841495513916,2.7238677844405172,3e-05,0.1,0.00028171804,,
