time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/learning_rate,train/value_loss,train/loss,train/explained_variance,train/n_updates,train/approx_kl,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
41,197,4.858451919999999,93.06,426,83968,3e-05,4.156772418320179,0.941039502620697,0.818108320236206,400,0.00044702983,-3.124204161763191,9.765625e-05,-0.0023803847579983994,0.1,,
42,201,4.17283545,94.18,425,86016,3e-05,6.7173898160457615,2.2781026363372803,0.7550077438354492,410,0.0004194861,-3.125982016324997,0.0,-0.0021738914292654954,0.1,,
43,206,4.37184554,94.61,425,88064,3e-05,3.924377942085266,1.04910409450531,0.8789137601852417,420,0.0008229824,-3.1274153858423235,0.003076171875,-0.003553808378637768,0.1,,
,,,,,90000,3e-05,5.299160799384117,1.1140851974487305,0.7158893942832947,430,0.00056016684,-3.138859263062477,9.765625e-05,-0.0027728552173357456,0.1,-2.3504497528076174,105.2
44,212,2.95334835,95.62,423,90112,,,,,,,,,,,,
45,218,2.6342332699999997,95.96,422,92160,3e-05,5.010410045087338,1.0412347316741943,0.7156283855438232,440,0.00067062536,-3.1145333141088485,0.0041015625,-0.0034753325278870763,0.1,,
46,222,2.83358801,96.21,422,94208,3e-05,4.9734618559479715,1.2657922506332397,0.6473420858383179,450,0.00092656596,-3.110209769010544,0.003466796875,-0.0035443949018372223,0.1,,
47,227,2.51261052,95.54,423,96256,3e-05,5.010775429010391,1.082308053970337,0.8111340999603271,460,0.00081684743,-3.0938121169805526,0.001416015625,-0.003640581190120429,0.1,,
48,232,3.0946452099999995,96.48,423,98304,3e-05,4.052406530082226,0.9004185199737549,0.848663330078125,470,0.000651816,-3.0648899346590044,0.001318359375,-0.0032159161433810367,0.1,,
,,,,,100000,3e-05,3.5784295201301575,1.0586953163146973,0.8302774429321289,480,0.0008783372,-3.1212611377239226,0.005419921875,-0.003952974184358027,0.1,0.1583573818206787,93.6
49,237,4.0964412999999995,96.16,422,100352,,,,,,,,,,,,
50,242,4.7154481299999995,94.83,423,102400,3e-05,5.6929400086402895,1.1151474714279175,0.7909975051879883,490,0.00045581476,-3.1099987089633943,9.765625e-05,-0.0021980814140988513,0.1,,
51,247,3.0023713400000003,95.61,422,104448,3e-05,5.802220505475998,1.2903170585632324,0.6897141933441162,500,0.00051739876,-3.1156526654958725,0.0,-0.0027127918758196755,0.1,,
52,252,2.15139605,95.11,422,106496,3e-05,8.226349860429764,3.4560368061065674,0.8011791706085205,510,0.0004264129,-3.124823498725891,0.000146484375,-0.0026244122447678818,0.1,,
53,256,2.8753600399999995,94.49,422,108544,3e-05,5.1811020642519,1.337311863899231,0.8070996403694153,520,0.00068390707,-3.119424170255661,0.001806640625,-0.0034947204549098387,0.1,,
,,,,,110000,3e-05,5.503440564870834,1.406131625175476,0.7443993091583252,530,0.0006397113,-3.10999019742012,0.001953125,-0.0031462620332604273,0.1,-7.18654338568449,89.4
54,262,3.0480984,95.12,421,110592,,,,,,,,,,,,
55,267,4.22413837,95.79,421,112640,3e-05,6.199814063310623,1.154994249343872,0.6161230206489563,540,0.00047570257,-3.1511334419250487,0.000146484375,-0.0027770504471845924,0.1,,
56,271,5.31026978,94.51,422,114688,3e-05,4.106593695282936,1.140758991241455,0.7482244968414307,550,0.00058825465,-3.070654159784317,0.0,-0.00281870204344159,0.1,,
57,276,5.93920251,94.21,422,116736,3e-05,5.733835844695568,1.369936227798462,0.7852174639701843,560,0.00056214834,-3.087889188528061,4.8828125e-05,-0.002884297288255766,0.1,,
58,280,6.5360116,93.52,423,118784,3e-05,5.114020505547524,1.0311607122421265,0.7795064449310303,570,0.00061596907,-3.0934477180242537,0.000244140625,-0.0033544088568305598,0.1,,
,,,,,120000,3e-05,5.171019425988197,1.7074759006500244,0.8165501952171326,580,0.0004291992,-3.0754788428545,0.0,-0.002301036391872913,0.1,-1.2865666389465331,88.8
59,286,6.607370820000001,93.08,422,120832,,,,,,,,,,,,
60,291,6.805973829999999,92.83,422,122880,3e-05,6.203425917029381,2.001028299331665,0.6553176641464233,590,0.0002769946,-3.1136437922716143,0.0,-0.0018713187047978864,0.1,,
61,295,5.825985839999999,93.11,422,124928,3e-05,4.235249637067318,0.9702845811843872,0.8306387066841125,600,0.00031450085,-3.0541536659002304,0.0,-0.00196527264197357,0.1,,
62,300,6.0020115700000005,94.63,422,126976,3e-05,3.8540446355938913,0.8116415739059448,0.7574877142906189,610,0.0005551521,-3.1119881540536882,9.765625e-05,-0.0028170844772830604,0.1,,
63,305,5.745267709999999,94.18,422,129024,3e-05,3.4465163171291353,0.7178536057472229,0.8114001750946045,620,0.00057283044,-3.0676633566617966,0.0,-0.002782386128092185,0.1,,
,,,,,130000,3e-05,6.07496041059494,3.499166965484619,0.8260220885276794,630,0.00043763666,-3.0627336651086807,0.0,-0.0023580943714478055,0.1,3.9226755857467652,97.6
64,310,6.4683250899999996,94.68,422,131072,,,,,,,,,,,,
65,315,6.606739480000001,94.56,422,133120,3e-05,4.116091565787793,0.9654151797294617,0.7315334677696228,640,0.00075229496,-3.0643768072128297,0.0005859375,-0.00356769809150137,0.1,,
66,319,5.6293418,94.77,422,135168,3e-05,2.6243810996413233,0.5082098245620728,0.7118160724639893,650,0.00079932075,-3.0762092411518096,0.003173828125,-0.003060312764137052,0.1,,
67,324,5.629212659999999,94.62,422,137216,3e-05,4.796117499470711,1.421586513519287,0.7614233493804932,660,0.0006398822,-3.0705753952264785,0.001611328125,-0.003279776030103676,0.1,,
68,328,5.055437649999999,94.92,423,139264,3e-05,2.9100078590214253,0.6571738123893738,0.854215681552887,670,0.000644214,-3.061986517906189,0.000439453125,-0.0031541572650894524,0.1,,
,,,,,140000,3e-05,3.601796294748783,0.8261352777481079,0.8286589980125427,680,0.00077196374,-3.0702532708644865,0.001953125,-0.0035060091177001595,0.1,-1.6877957344055177,95.6
69,334,4.10637161,95.29,422,141312,,,,,,,,,,,,
70,338,5.0313457,95.09,423,143360,3e-05,4.423074397444725,1.0439691543579102,0.8679662942886353,690,0.000425879,-3.107672041654587,9.765625e-05,-0.002454913346446119,0.1,,
71,343,6.148614450000001,93.49,423,145408,3e-05,4.397471490502357,0.6067631244659424,0.8170346021652222,700,0.00073551026,-3.053453895449638,0.001123046875,-0.0031522162113105877,0.1,,
72,348,6.25368661,93.35,423,147456,3e-05,3.8134378761053087,0.8824383020401001,0.8297635316848755,710,0.0005709257,-3.0484773606061935,9.765625e-05,-0.003098546995897777,0.1,,
73,352,5.60097899,93.62,423,149504,3e-05,5.754626733064652,1.1474851369857788,0.7432482242584229,720,0.00037542728,-3.0547876983880995,0.0,-0.0024196770653361456,0.1,,
,,,,,150000,3e-05,4.240963011980057,1.0094667673110962,0.7150703072547913,730,0.00050433865,-3.0675310492515564,0.0,-0.0027574425330385566,0.1,12.1097243309021,86.6
74,357,5.618094580000001,94.59,423,151552,,,,,,,,,,,,
75,362,5.130457080000001,95.16,423,153600,3e-05,3.5096594482660293,0.9360913038253784,0.7864912748336792,740,0.0006213696,-3.041654273867607,4.8828125e-05,-0.002373192217783071,0.1,,
76,367,4.45666899,96.55,424,155648,3e-05,3.618487077951431,0.6912449598312378,0.6884467005729675,750,0.00070943596,-3.096309819817543,0.00302734375,-0.0031204006430925802,0.1,,
