time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/entropy_loss,train/loss,train/n_updates,train/clip_fraction,train/explained_variance,train/approx_kl,train/value_loss,eval/mean_reward,eval/mean_ep_length
196,-8.111826799999998,61,124928,67.81,635,-0.007598692126339302,0.0003,0.2,-1.2755067434161902,1.018759846687317,600,0.066259765625,0.7633266448974609,0.008792376,3.202273929305375,,
199,-7.01388243,62,126976,67.62,635,-0.008573364580661292,0.0003,0.2,-1.2354117460548877,0.7492161989212036,610,0.068212890625,0.8450473546981812,0.008016607,1.97812981903553,,
202,-6.215666999999999,63,129024,67.26,635,-0.007858636602759362,0.0003,0.2,-1.2634962093085051,0.8834007978439331,620,0.08505859375,0.7587341070175171,0.008898791,3.2074693612754346,,
,,,130000,,,-0.006767715842579491,0.0003,0.2,-1.227432907372713,0.8240638971328735,630,0.063671875,0.7554797530174255,0.008519245,2.9364517798647283,-5.632415127754212,66.0
206,-6.16761927,64,131072,67.18,634,,,,,,,,,,,,
209,-5.855223609999999,65,133120,66.79,634,-0.006676429867366096,0.0003,0.2,-1.2637929182499648,0.8589475154876709,640,0.059814453125,0.836374044418335,0.007997699,3.3171125549823044,,
212,-6.50124946,66,135168,67.18,635,-0.008082808319159085,0.0003,0.2,-1.2302774168550967,1.225557565689087,650,0.067626953125,0.7738847136497498,0.0075678946,3.107408023998141,,
215,-6.140332009999998,67,137216,67.47,635,-0.009203539197915233,0.0003,0.2,-1.2705745369195938,0.7435242533683777,660,0.089599609375,0.7569272518157959,0.0094024055,3.151722549088299,,
219,-5.871778420000001,68,139264,67.62,635,-0.009349323343485594,0.0003,0.2,-1.240612378716469,0.6566850543022156,670,0.094873046875,0.7363559007644653,0.009958098,2.720088763907552,,
,,,140000,,,-0.009177390512195415,0.0003,0.2,-1.2234193969517946,0.7791775465011597,680,0.0912109375,0.7899602651596069,0.010259484,3.5649793539196253,-2.1065019369125366,60.6
222,-6.697325810000001,69,141312,68.5,634,,,,,,,,,,,,
225,-6.356486759999999,70,143360,68.35,635,-0.008601161728438455,0.0003,0.2,-1.1965329442173243,0.7391132712364197,690,0.064697265625,0.7268226146697998,0.0077602505,3.379554134979844,,
228,-6.5983284200000005,71,145408,67.66,635,-0.006684772569860798,0.0003,0.2,-1.173379123955965,0.7758986949920654,700,0.077734375,0.6335444450378418,0.0071805185,2.978482084535062,,
232,-5.633276929999999,72,147456,66.87,635,-0.01116486875253031,0.0003,0.2,-1.1746204664930702,1.0890592336654663,710,0.10537109375,0.7486682534217834,0.009264896,2.7981489224359395,,
