time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/learning_rate,train/clip_fraction,train/n_updates,train/loss,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/approx_kl,eval/mean_reward,eval/mean_ep_length
189,389,73728,38.26,43.68754032999999,36,0.7990456968545914,0.0003,0.173193359375,350,0.7293707728385925,2.5961476888507606,-1.2750475998967885,-0.028359009328414685,0.2,0.018018998,,
186,406,75776,37.8,44.40517001,37,0.8036695569753647,0.0003,0.188232421875,360,0.6691684722900391,2.3754705388098953,-1.2222764920443296,-0.024048335077532103,0.2,0.019009285,,
184,420,77824,38.19,43.295381989999996,38,0.7996141016483307,0.0003,0.17021484375,370,0.6846017837524414,2.4052780881524085,-1.2283947061747313,-0.02417290125740692,0.2,0.017448768,,
182,437,79872,37.95,43.63301163,39,0.7595035284757614,0.0003,0.1462890625,380,1.174026370048523,3.5472278449684382,-1.2362693801522255,-0.021707785715989303,0.2,0.018675832,,
,,80000,,,,0.7610908597707748,0.0003,0.15185546875,390,0.943792998790741,2.5384324602782726,-1.1801778592169285,-0.026423911593155935,0.2,0.014531798,45.13789749145508,35.4
181,452,81920,38.08,44.18006165,40,,,,,,,,,,,,
178,469,83968,37.86,44.21666581,41,0.8073045313358307,0.0003,0.18369140625,400,0.5900859832763672,2.4308948615565895,-1.1948777217417956,-0.02701359536149539,0.2,0.01837791,,
178,481,86016,37.86,44.469071799999995,42,0.8106799721717834,0.0003,0.18876953125,410,0.7907066345214844,2.385654826462269,-1.176314014196396,-0.024794100390863605,0.2,0.018065656,,
177,497,88064,37.29,44.406631239999996,43,0.8507891744375229,0.0003,0.20546875,420,0.43823641538619995,1.7827590322121978,-1.1757929276674985,-0.02740243570297025,0.2,0.021779276,,
,,90000,,,,0.7434211373329163,0.0003,0.165478515625,430,0.8921018838882446,3.1795784886926413,-1.146983279660344,-0.027312236225407106,0.2,0.016288301,41.572930908203126,37.8
174,515,90112,38.14,44.20922714,44,,,,,,,,,,,,
174,527,92160,39.4,44.72005447999999,45,0.8072879165410995,0.0003,0.162451171875,440,0.5638800263404846,2.9560377838090064,-1.149790419638157,-0.022355265989608596,0.2,0.017453391,,
172,544,94208,38.43,44.77157672000001,46,0.8102190941572189,0.0003,0.184228515625,450,0.8947932124137878,2.692722248099744,-1.1602217361330986,-0.024295517614518758,0.2,0.017959673,,
172,559,96256,38.31,45.87725470999999,47,0.8333186954259872,0.0003,0.183349609375,460,0.5607801675796509,2.029699981212616,-1.1308973420411348,-0.024659819780208637,0.2,0.017348938,,
170,577,98304,38.73,46.30785273000001,48,0.8286922574043274,0.0003,0.1689453125,470,0.6304236054420471,2.4832642801105975,-1.1415318146348,-0.026684673996351195,0.2,0.01605234,,
,,100000,,,,0.8466496467590332,0.0003,0.173193359375,480,0.6391588449478149,2.2551564684137704,-1.117398413270712,-0.023923180132987908,0.2,0.017782262,46.96668319702148,34.8
169,592,100352,37.72,46.52958880999999,49,,,,,,,,,,,,
168,607,102400,37.75,45.90600017,50,0.8140520006418228,0.0003,0.156787109375,490,0.8317682147026062,2.218522840552032,-1.1149203345179557,-0.023400644616049248,0.2,0.019275218,,
167,622,104448,37.95,46.15006667000001,51,0.796467050909996,0.0003,0.1744140625,500,0.877761960029602,2.629192755743861,-1.1207638008520007,-0.023727992471685867,0.2,0.017696546,,
166,639,106496,37.35,46.500261380000005,52,0.8333665877580643,0.0003,0.186376953125,510,0.6987015008926392,2.2296367337927223,-1.1201243087649346,-0.028094112619874066,0.2,0.022809515,,
165,656,108544,37.23,46.484718089999994,53,0.8100188076496124,0.0003,0.162939453125,520,0.9062488675117493,2.539060179516673,-1.1217235760763287,-0.02534028392547043,0.2,0.017897282,,
,,110000,,,,0.8139297068119049,0.0003,0.20625,530,0.6783742904663086,2.0530663821846247,-1.118124970421195,-0.02386447210010374,0.2,0.022177454,46.917423248291016,36.0
164,671,110592,37.66,47.04763163,54,,,,,,,,,,,,
165,682,112640,38.23,47.195683900000006,55,0.8123864531517029,0.0003,0.18271484375,540,0.9963124394416809,2.421192000433803,-1.083550975844264,-0.02372016659937799,0.2,0.016493864,,
164,697,114688,37.98,47.13949179,56,0.8367875516414642,0.0003,0.194482421875,550,0.47143033146858215,1.6213997196406127,-1.094879131950438,-0.023444252510671504,0.2,0.024264164,,
163,714,116736,37.5,46.94076658,57,0.8807248994708061,0.0003,0.183984375,560,0.3505333662033081,1.4668089071288706,-1.0856687830761076,-0.021608832583297044,0.2,0.02008152,,
162,729,118784,37.47,46.43596526,58,0.8514979481697083,0.0003,0.186572265625,570,0.441922128200531,1.7115550987422465,-1.047776810824871,-0.026902858685934915,0.2,0.02234564,,
,,120000,,,,0.8687940388917923,0.0003,0.200537109375,580,0.3738326132297516,1.5209762583486737,-1.070640890300274,-0.023359986302966717,0.2,0.021535236,47.41810989379883,36.0
162,744,120832,37.72,46.83518345,59,,,,,,,,,,,,
161,761,122880,37.78,46.910675139999995,60,0.8679151237010956,0.0003,0.219287109375,590,0.3102131485939026,1.5242756292223931,-1.0682783648371696,-0.026915858939173632,0.2,0.022736272,,
160,779,124928,38.19,47.07211949,61,0.8295078575611115,0.0003,0.18408203125,600,0.5038230419158936,1.780740863457322,-1.06294903177768,-0.024106126085098368,0.2,0.019336272,,
159,793,126976,38.04,47.00215888,62,0.859491378068924,0.0003,0.176708984375,610,0.8676021099090576,1.8354994786903263,-1.053663573600352,-0.021909176574263257,0.2,0.021121956,,
159,808,129024,36.87,46.709404860000014,63,0.8187462538480759,0.0003,0.198681640625,620,0.6468038558959961,1.91277233697474,-1.0174970664083958,-0.028835295762110035,0.2,0.021859713,,
,,130000,,,,0.8499916195869446,0.0003,0.18681640625,630,0.4038020372390747,1.695061361603439,-1.041877613402903,-0.02596713553648442,0.2,0.021473454,48.77608184814453,40.8
159,823,131072,37.66,47.23499519000001,64,,,,,,,,,,,,
158,837,133120,38.23,47.458045229999996,65,0.857541635632515,0.0003,0.178759765625,640,0.46744686365127563,1.974809087626636,-1.041209937259555,-0.02632908935775049,0.2,0.018766679,,
159,848,135168,36.66,47.37858647000001,66,0.838113397359848,0.0003,0.203173828125,650,0.32537442445755005,1.7039737220853568,-1.0162548208609223,-0.03164254770235857,0.2,0.022242464,,
158,867,137216,37.05,47.40686561,67,0.8607862442731857,0.0003,0.207861328125,660,0.32589930295944214,1.3579490181058644,-0.986139134503901,-0.025194414057477844,0.2,0.02622349,,
157,881,139264,38.04,46.65660703,68,0.8694113790988922,0.0003,0.194580078125,670,0.21821531653404236,1.339374948013574,-1.0156622443348169,-0.02383286903059343,0.2,0.0265289,,
,,140000,,,,0.7628889381885529,0.0003,0.168798828125,680,0.7920702695846558,2.790136422403157,-1.03499444629997,-0.024244877547607756,0.2,0.017678438,49.52798919677734,36.0
157,896,141312,38.83,46.64057706999999,69,,,,,,,,,,,,
157,911,143360,38.35,47.80743001,70,0.8574899882078171,0.0003,0.197900390625,690,0.37570810317993164,1.8717141291126609,-1.0097001949325204,-0.0247115670441417,0.2,0.022369292,,
156,926,145408,37.02,47.454775,71,0.8363359123468399,0.0003,0.1767578125,700,0.591063916683197,1.93109516762197,-1.0028557119891048,-0.024672284531698098,0.2,0.02753228,,
157,937,147456,37.95,47.51697015,72,0.8444024175405502,0.0003,0.2,710,0.5168783664703369,1.8386716598644852,-0.9709510723128915,-0.027749117664643563,0.2,0.023116436,,
157,948,149504,38.34,48.124105660000005,73,0.8729440569877625,0.0003,0.191162109375,720,0.3510178327560425,1.8110743753612042,-0.992332038283348,-0.027633788025559623,0.2,0.023691006,,
,,150000,,,,0.8808484151959419,0.0003,0.23916015625,730,0.31959086656570435,1.0946545911952854,-1.0087191224098206,-0.023322227023891175,0.2,0.031163009,44.771968841552734,28.2
157,961,151552,39.04,47.74909922999999,74,,,,,,,,,,,,
157,974,153600,38.56,47.88349309,75,0.8729023933410645,0.0003,0.211572265625,740,0.3292883634567261,1.4954971453174948,-1.018794373422861,-0.02322830603516195,0.2,0.02405913,,
157,985,155648,37.89,47.90956342000001,76,0.8867185786366463,0.0003,0.20859375,750,0.3001064658164978,1.2387086313217879,-0.9682262741029263,-0.026471022015903144,0.2,0.02694813,,
157,1000,157696,37.62,48.06538592999999,77,0.8652946054935455,0.0003,0.232275390625,760,0.403192400932312,1.348035167530179,-0.958304206840694,-0.026455854348023423,0.2,0.029484652,,
157,1012,159744,36.6,48.092621529999995,78,0.8856907710433006,0.0003,0.22431640625,770,0.2537963092327118,1.198737738095224,-0.9590754734352231,-0.026559516749694013,0.2,0.024822822,,
,,160000,,,,0.8545804470777512,0.0003,0.22275390625,780,0.38992950320243835,1.3814728195779025,-0.9708939054980874,-0.023233292227814673,0.2,0.024644297,47.41166381835937,39.0
157,1024,161792,37.15,47.65141349999999,79,,,,,,,,,,,,
157,1040,163840,37.71,47.80738563999999,80,0.8312677294015884,0.0003,0.173876953125,790,0.9285301566123962,2.1073771685361864,-0.959180648997426,-0.02350769141339697,0.2,0.02160101,,
157,1054,165888,37.35,47.3292021,81,0.8595430105924606,0.0003,0.18818359375,800,0.6325921416282654,1.9059664385393262,-0.9856004068627954,-0.02430316704121651,0.2,0.024475165,,
157,1066,167936,37.32,47.60225189,82,0.8552667498588562,0.0003,0.18505859375,810,0.3358801305294037,1.7585726384073497,-0.9677986171096563,-0.02846578200114891,0.2,0.022489805,,
157,1081,169984,37.2,48.396417,83,0.8685499727725983,0.0003,0.172998046875,820,0.3663187026977539,1.6922627974301576,-0.9566853903234005,-0.02517034676966432,0.2,0.02082847,,
,,170000,,,,0.8930940479040146,0.0003,0.1994140625,830,0.35770779848098755,1.5552609741687775,-0.9449102036654949,-0.018664308910956606,0.2,0.022992963,46.826960754394534,39.6
156,1096,172032,37.33,48.0767918,84,,,,,,,,,,,,
157,1107,174080,38.1,48.11931172,85,0.8816170021891594,0.0003,0.2099609375,840,0.4713134169578552,1.4382556773722173,-0.9390284074470401,-0.024958860117476434,0.2,0.027530592,,
156,1126,176128,37.59,47.71600399999999,86,0.8575784265995026,0.0003,0.20869140625,850,0.39478984475135803,1.2977990788407623,-0.923678126372397,-0.025742547733534592,0.2,0.024293093,,
156,1140,178176,37.8,48.18270309999999,87,0.8708179593086243,0.0003,0.195654296875,860,0.3525209426879883,1.3830261926166714,-0.9147843193262816,-0.024776140358881094,0.2,0.023565438,,
,,180000,,,,0.9014786332845688,0.0003,0.207763671875,870,0.32137802243232727,1.388781206123531,-0.9331817731261254,-0.02714891010109568,0.2,0.02486967,48.598558044433595,41.4
155,1158,180224,39.01,48.393968969999996,88,,,,,,,,,,,,
155,1169,182272,39.16,48.25417536,89,0.8435590267181396,0.0003,0.198779296875,880,0.34316128492355347,1.9892004784196615,-0.9432932736352087,-0.022380642080679535,0.2,0.027482364,,
156,1181,184320,37.83,48.16604292,90,0.8959551006555557,0.0003,0.209375,890,0.2652924656867981,1.3030615152791143,-0.9364198669791222,-0.024272477108752355,0.2,0.0280832,,
156,1193,186368,36.99,48.22942663,91,0.8368418663740158,0.0003,0.199462890625,900,0.3657689094543457,1.9353919928893446,-0.9078177377581597,-0.020683700432709885,0.2,0.0253658,,
155,1211,188416,36.3,48.51533365,92,0.8811345770955086,0.0003,0.211083984375,910,0.4721141457557678,1.5517159095034003,-0.8911979964002967,-0.02501442964130547,0.2,0.026953865,,
,,190000,,,,0.8238758891820908,0.0003,0.189306640625,920,0.3013719320297241,1.633891348168254,-0.8626832064241171,-0.02079084656870691,0.2,0.02424017,48.875,40.2
154,1230,190464,37.39,48.65159803,93,,,,,,,,,,,,
154,1242,192512,37.21,48.79666232000002,94,0.8089676946401596,0.0003,0.205517578125,930,0.30406564474105835,2.185303766839206,-0.92333866301924,-0.026647897379734786,0.2,0.024307858,,
154,1257,194560,37.95,48.74073217,95,0.8444850891828537,0.0003,0.199267578125,940,0.5324633121490479,2.0089503595605493,-0.8924069326370955,-0.026313679125451017,0.2,0.02540704,,
154,1271,196608,38.58,48.43453557,96,0.8899097666144371,0.0003,0.1962890625,950,0.42935001850128174,1.4002230168320238,-0.9064778005704284,-0.024298357804946137,0.2,0.026914869,,
