time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/learning_rate,train/value_loss,train/loss,train/explained_variance,train/n_updates,train/approx_kl,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
,,,,,80000,3e-05,4.897586418688297,1.3628559112548828,0.7936388850212097,390,0.00041847574,-3.071063515543938,4.8828125e-05,-0.002403874625451863,0.1,5.904050302505493,89.6
40,216,2.49838274,95.31,378,81920,,,,,,,,,,,,
41,221,2.41729082,94.87,379,83968,3e-05,3.83366988748312,0.7785362601280212,0.8137381672859192,400,0.0009028379,-3.10253726541996,0.00048828125,-0.003998225997202098,0.1,,
42,226,3.9809464200000004,93.44,379,86016,3e-05,3.625247173011303,0.5881959795951843,0.7988330125808716,410,0.00069456967,-3.0806751370429994,4.8828125e-05,-0.0026537305355304854,0.1,,
43,231,2.91430765,93.59,380,88064,3e-05,4.8739654332399365,1.1392247676849365,0.7516177296638489,420,0.0004843638,-3.065466985106468,0.000146484375,-0.0023066454799845816,0.1,,
,,,,,90000,3e-05,4.5085261687636375,1.0148917436599731,0.7461879253387451,430,0.00056421506,-3.08316388130188,0.0001953125,-0.00284958251286298,0.1,10.011030006408692,95.4
44,237,3.47134637,93.66,379,90112,,,,,,,,,,,,
45,242,2.51050707,93.67,379,92160,3e-05,3.4103772327303887,0.5772997140884399,0.7400411367416382,440,0.0006556619,-3.0874957174062727,9.765625e-05,-0.002886328857857734,0.1,,
46,247,1.7949862799999996,94.88,380,94208,3e-05,10.157737144827843,5.092311859130859,0.7260335683822632,450,0.00039103866,-3.06235531270504,0.0,-0.0022534559946507217,0.1,,
47,252,2.35957448,94.77,380,96256,3e-05,5.22944142818451,0.9439839124679565,0.6550077199935913,460,0.0006289146,-3.1080729484558107,0.00087890625,-0.002978189078567084,0.1,,
48,257,2.7059106399999995,94.31,381,98304,3e-05,3.8527358144521715,0.8197293877601624,0.7931889295578003,470,0.0006545834,-3.081291899085045,0.002783203125,-0.003122530929977074,0.1,,
,,,,,100000,3e-05,4.682676713168621,0.9958977699279785,0.7969384789466858,480,0.00075453473,-3.086966374516487,0.0005859375,-0.0035561255557695405,0.1,5.167418909072876,86.0
49,263,3.1987613000000006,93.4,380,100352,,,,,,,,,,,,
50,269,3.3822323799999996,93.0,380,102400,3e-05,6.1369008153676985,1.4847105741500854,0.8575809597969055,490,0.00052829314,-3.07341890335083,0.0,-0.0024959411573945546,0.1,,
51,274,3.1145878099999993,93.46,380,104448,3e-05,5.011660385131836,1.0023443698883057,0.85857093334198,500,0.0005178717,-3.060502737760544,4.8828125e-05,-0.002533359031076543,0.1,,
52,279,2.95760004,93.66,381,106496,3e-05,5.026789730787277,0.8169644474983215,0.7811745405197144,510,0.000593947,-3.0536010950803756,0.001123046875,-0.002817046415293589,0.1,,
53,284,3.63064596,93.65,381,108544,3e-05,4.020301975309849,0.735464870929718,0.543228030204773,520,0.00064275623,-3.0410838067531585,0.000830078125,-0.0025922832966898566,0.1,,
,,,,,110000,3e-05,4.296088199317455,0.9819658994674683,0.767827570438385,530,0.00067669386,-3.0745157063007356,0.000146484375,-0.0027745438943384214,0.1,-0.8167176216840744,95.0
54,290,3.48557162,94.85,380,110592,,,,,,,,,,,,
55,296,4.7198733,94.04,380,112640,3e-05,3.8941694304347036,0.7564753890037537,0.7543841600418091,540,0.0007555778,-3.064318796992302,0.003662109375,-0.0030364517879206687,0.1,,
56,301,4.303152980000001,93.33,380,114688,3e-05,3.2757915034890175,0.6376050710678101,0.812250554561615,550,0.0010797121,-3.0516226649284364,0.006640625,-0.00395199935301207,0.1,,
57,307,3.3105967100000004,93.5,380,116736,3e-05,3.1992917984724043,0.5894188284873962,0.8356731534004211,560,0.0012276773,-3.0545214504003524,0.008154296875,-0.00418201350257732,0.1,,
58,312,4.420094510000001,92.41,380,118784,3e-05,4.527609631419182,0.9126970767974854,0.8000887632369995,570,0.0006338597,-3.0515546798706055,0.000634765625,-0.0031828705192310735,0.1,,
,,,,,120000,3e-05,4.4213915228843685,0.7322655916213989,0.8510316610336304,580,0.00078472233,-3.0214838445186616,0.000537109375,-0.0030949498963309453,0.1,6.9080202102661135,97.8
59,318,4.31732127,91.63,379,120832,,,,,,,,,,,,
60,323,4.43947308,91.51,380,122880,3e-05,4.143646016716957,0.8562297821044922,0.8452452421188354,590,0.0011558421,-3.0554060637950897,0.00419921875,-0.004211653297534213,0.1,,
61,328,4.188083290000001,91.76,380,124928,3e-05,5.089994733035565,0.8397719264030457,0.7690234184265137,600,0.000450341,-3.064099544286728,0.0,-0.002326107853150461,0.1,,
62,333,3.58851721,92.54,380,126976,3e-05,4.024102333188057,0.7770287990570068,0.8626012206077576,610,0.0009276503,-3.0417803436517716,0.001220703125,-0.0036081690064747817,0.1,,
63,338,3.2050930799999997,93.09,381,129024,3e-05,5.565183860063553,1.1032464504241943,0.8326172828674316,620,0.00073725625,-3.0174770444631576,0.002294921875,-0.0032049384608399123,0.1,,
,,,,,130000,3e-05,3.4738713189959527,0.6286507844924927,0.7995059490203857,630,0.000924031,-3.0150033116340635,0.003369140625,-0.0034571675525512545,0.1,7.622513961791992,92.2
64,344,2.8041049899999995,94.42,380,131072,,,,,,,,,,,,
65,349,3.0500926600000002,93.45,380,133120,3e-05,7.766451916098594,2.4309260845184326,0.8302881717681885,640,0.0007145804,-3.0554430574178695,0.000146484375,-0.0028307378845056517,0.1,,
66,354,3.430808180000001,94.16,381,135168,3e-05,5.386945940554142,1.2216638326644897,0.8223111629486084,650,0.00063701987,-3.0673825800418855,9.765625e-05,-0.0027058542473241687,0.1,,
67,359,3.51498263,93.68,381,137216,3e-05,3.6989430725574493,0.7782570719718933,0.7724816799163818,660,0.0005722811,-3.0378554672002793,9.765625e-05,-0.0024081699026282876,0.1,,
68,364,2.53025206,94.34,382,139264,3e-05,4.362514331936836,0.8236136436462402,0.6794495582580566,670,0.00056157704,-3.015266740322113,0.000830078125,-0.00235321227228269,0.1,,
,,,,,140000,3e-05,3.8969844922423365,0.8614547848701477,0.8169019222259521,680,0.0006782523,-3.050890552997589,9.765625e-05,-0.0029484116559615357,0.1,13.433453285694123,88.2
69,370,3.7857916600000006,94.06,381,141312,,,,,,,,,,,,
70,375,3.49837871,93.27,381,143360,3e-05,3.031357875466347,0.5173206925392151,0.7146921157836914,690,0.0010045082,-3.044288861751556,0.006640625,-0.003498450858751312,0.1,,
71,381,4.15394729,94.19,381,145408,3e-05,6.860384726524353,1.5112192630767822,0.7411825656890869,700,0.00022693409,-3.030320742726326,0.0,-0.0014990650852269027,0.1,,
72,386,4.36073806,94.39,381,147456,3e-05,4.143468092381954,0.741807758808136,0.8595262169837952,710,0.0004995143,-3.0624532759189607,0.000537109375,-0.0025793520762817934,0.1,,
73,391,4.324627700000001,93.48,381,149504,3e-05,4.331732703745365,1.1555867195129395,0.8301181793212891,720,0.0006301352,-3.0874688416719436,0.00068359375,-0.002982332352257799,0.1,,
,,,,,150000,3e-05,3.751017874479294,0.8102467060089111,0.8202567100524902,730,0.0005935947,-3.0837445139884947,0.000537109375,-0.002715594958863221,0.1,17.1249098777771,89.0
74,397,4.61774322,94.78,380,151552,,,,,,,,,,,,
75,402,5.418275390000002,94.33,381,153600,3e-05,4.356669935584068,0.8878790140151978,0.8595400452613831,740,0.0011061009,-3.0996139645576477,0.001025390625,-0.0041763691813685,0.1,,
