time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/clip_fraction,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/value_loss,train/learning_rate,train/clip_range,train/approx_kl,eval/mean_reward,eval/mean_ep_length
88064,43,368,-10.461523880000001,517.48,239,0.00029296875,420,-4.53501443862915,-0.00242979280592408,0.8836202621459961,2.240246057510376,2.4982971999794246,3e-05,0.1,0.00029974306,,
90000,,,,,,0.0,430,-4.534736090898514,-0.001792355053476058,0.8696126192808151,0.36959555745124817,1.3200273331254722,3e-05,0.1,0.00013918491,4.891275405883789,536.8
90112,44,362,-10.7318681,519.77,248,,,,,,,,,,,,
92160,45,363,-10.203889809999998,521.39,253,0.0,440,-4.539272755384445,-0.0018730670650256797,0.8096346855163574,2.432096004486084,2.7470084803178905,3e-05,0.1,0.00022189968,,
94208,46,365,-9.12820784,516.72,258,0.000244140625,450,-4.5409680843353275,-0.0024228099995525555,0.8417736887931824,0.8272718787193298,1.2816729800775648,3e-05,0.1,0.0002765378,,
96256,47,366,-9.54796176,518.09,262,0.007080078125,460,-4.539882534742356,-0.004172278215992265,0.8736916035413742,0.06340030580759048,0.3368047115392983,3e-05,0.1,0.0007793738,,
98304,48,367,-9.524128500000002,513.84,267,0.0,470,-4.534000843763351,-0.0023144330887589605,0.9272684752941132,0.08027489483356476,0.585175552777946,3e-05,0.1,0.0002990295,,
100000,,,,,,0.001953125,480,-4.533648735284805,-0.002946391291334294,0.898836575448513,1.3153189420700073,3.479125328361988,3e-05,0.1,0.00041863346,-2.069592225551605,452.8
100352,49,363,-8.9844013,518.03,276,,,,,,,,,,,,
102400,50,364,-9.460957009999998,512.27,281,0.004296875,490,-4.5359072387218475,-0.004052037917426787,0.8643424361944199,0.13044150173664093,0.558501154370606,3e-05,0.1,0.0007049251,,
104448,51,364,-9.86102888,511.94,286,0.002001953125,500,-4.531982964277267,-0.0038875672413269057,0.9444100111722946,0.3009107708930969,0.8573544070124626,3e-05,0.1,0.00061468437,,
106496,52,365,-9.348866519999998,515.19,291,0.00693359375,510,-4.52625601887703,-0.004136699059745297,0.90097676217556,1.1000194549560547,1.6878852820955217,3e-05,0.1,0.0008162679,,
108544,53,366,-8.64332273,505.92,295,0.01083984375,520,-4.528886026144027,-0.005236369307385758,0.7812649309635162,0.08692597597837448,0.30661359019577505,3e-05,0.1,0.0014383912,,
110000,,,,,,4.8828125e-05,530,-4.525835853815079,-0.0025151995185296984,0.8577014654874802,0.43605226278305054,1.7317666359245778,3e-05,0.1,0.0003659285,-7.180872201919556,463.6
110592,54,362,-7.55068197,512.11,304,,,,,,,,,,,,
112640,55,364,-6.23636635,508.27,309,0.005810546875,540,-4.5227337896823885,-0.0044426383974496275,0.9060606360435486,0.007955927401781082,0.23556513926014305,3e-05,0.1,0.0011397991,,
114688,56,364,-6.991931699999998,510.17,314,0.007080078125,550,-4.524442368745804,-0.004409812844824046,0.7205291092395782,0.015493039041757584,0.5245947720482945,3e-05,0.1,0.0009995531,,
116736,57,361,-6.7938281599999994,509.97,322,0.01728515625,560,-4.5245249509811405,-0.005257271578011568,0.9260697141289711,0.12210787832736969,0.2921366753987968,3e-05,0.1,0.0015205629,,
118784,58,350,-6.97141218,511.17,338,0.00185546875,570,-4.524367332458496,-0.0035761521430686116,0.7183236479759216,0.4481922686100006,1.7917824741452932,3e-05,0.1,0.00067831326,,
120000,,,,,,0.0,580,-4.516552257537842,-0.0020266844803700224,0.8746613413095474,0.5976030826568604,0.7666929010301828,3e-05,0.1,0.00023893768,4.390001392364502,488.2
120832,59,334,-7.22791006,510.55,361,,,,,,,,,,,,
122880,60,331,-7.61458744,509.26,370,0.004248046875,590,-4.523767900466919,-0.003889228217303753,0.8551530689001083,0.35652393102645874,0.41391147691756486,3e-05,0.1,0.0008569475,,
124928,61,332,-7.031333280000001,507.01,375,0.0,600,-4.517119932174682,-0.0032456689659738913,0.8816271275281906,1.2839394807815552,2.3982253445312383,3e-05,0.1,0.00054859754,,
126976,62,334,-7.3726340000000015,506.89,379,0.002978515625,610,-4.523498845100403,-0.0031969018949894235,0.7291037738323212,0.1647714376449585,0.666466632578522,3e-05,0.1,0.0006408583,,
129024,63,335,-7.007459010000002,506.58,384,0.0,620,-4.520055496692658,-0.001565113858669065,0.946843083947897,0.8974875211715698,0.8909968376159668,3e-05,0.1,0.0001435956,,
130000,,,,,,0.0,630,-4.519881951808929,-0.0015969783125910908,0.8314109146595001,0.5930330157279968,2.077057017758489,3e-05,0.1,0.0001226897,-1.6688005447387695,426.8
131072,64,333,-7.526423660000001,502.12,393,,,,,,,,,,,,
133120,65,334,-7.724426110000001,507.84,398,0.0,640,-4.511436343193054,-0.002655131707433611,0.8136549443006516,12.817066192626953,11.083309264481068,3e-05,0.1,0.0004942198,,
135168,66,335,-8.13731985,513.68,403,0.0,650,-4.51033256649971,-0.0024980561778647826,0.949029304087162,0.25756755471229553,0.8245749974623322,3e-05,0.1,0.000268704,,
137216,67,336,-7.298378550000001,516.51,407,0.000146484375,660,-4.511886405944824,-0.002910761334351264,0.9410965219140053,0.31403297185897827,0.5235521139577031,3e-05,0.1,0.00040532582,,
139264,68,337,-6.757474930000001,515.68,412,0.00498046875,670,-4.521397864818573,-0.004553454599226825,0.7767805606126785,0.3479418158531189,0.6588094597682357,3e-05,0.1,0.00080673216,,
140000,,,,,,0.000146484375,680,-4.521730107069016,-0.0023145733983255925,0.8883574083447456,0.751068115234375,3.491045855358243,3e-05,0.1,0.00029822823,-4.515082168579101,408.0
141312,69,335,-7.086020450000001,520.12,421,,,,,,,,,,,,
143360,70,336,-6.6873072,517.99,426,4.8828125e-05,690,-4.514218437671661,-0.0038423787482315674,0.9098205268383026,0.086332768201828,0.5510076340287924,3e-05,0.1,0.00044731336,,
145408,71,337,-6.729118109999999,521.66,431,0.014208984375,700,-4.517765367031098,-0.0051003333821427075,0.6303010582923889,0.17892296612262726,0.5366243876516819,3e-05,0.1,0.0014691055,,
147456,72,338,-6.499419529999996,524.69,436,0.0,710,-4.512777489423752,-0.002043447818141431,0.8912952616810799,0.37730658054351807,1.0234876800328494,3e-05,0.1,0.00018553357,,
149504,73,338,-7.63111816,525.73,441,0.0162109375,720,-4.5111922979354855,-0.004863292592926882,0.9274424389004707,-0.0169043131172657,0.21488835364580156,3e-05,0.1,0.0015038265,,
150000,,,,,,0.0,730,-4.507198601961136,-0.0016105221075122245,0.7759765535593033,7.016923427581787,9.989810875803233,3e-05,0.1,0.00020255573,5.025469075888395,437.4
151552,74,337,-7.315509829999999,530.45,449,,,,,,,,,,,,
153600,75,338,-7.53963918,532.97,454,0.0,740,-4.511320656538009,-0.0026397557929158212,0.7099090218544006,0.7789814472198486,2.3408173337578773,3e-05,0.1,0.00025933934,,
155648,76,339,-6.628597589999999,532.18,459,0.0,750,-4.505336087942124,-0.0023563345690490677,0.9053602069616318,0.7024309635162354,0.9862938269972801,3e-05,0.1,0.00024447293,,
157696,77,340,-6.19465308,535.48,463,0.004443359375,760,-4.517410713434219,-0.00411240246030502,0.6637617647647858,0.2352287471294403,1.3442280806601048,3e-05,0.1,0.0007595954,,
159744,78,340,-5.87485485,535.55,468,0.00283203125,770,-4.5069636583328245,-0.003375136447721161,0.761364534497261,0.4809143543243408,0.9090255901217461,3e-05,0.1,0.0005962106,,
160000,,,,,,0.0,780,-4.509812235832214,-0.002008786742226221,0.8989623710513115,1.0511422157287598,1.361403214558959,3e-05,0.1,0.00024735273,-0.790021026134491,588.2
161792,79,337,-6.14265154,538.82,478,,,,,,,,,,,,
163840,80,338,-5.921404940000001,545.53,483,0.0,790,-4.499957937002182,-0.0024526285182219,0.9232708960771561,1.003204107284546,1.538425724580884,3e-05,0.1,0.00037867718,,
165888,81,339,-5.7679713900000005,542.07,488,0.0064453125,800,-4.497825753688812,-0.004277224445831962,0.9508563242852688,0.0034145526587963104,0.2162561790086329,3e-05,0.1,0.001226148,,
167936,82,340,-5.674748910000001,548.19,493,0.04140625,810,-4.505273449420929,-0.007528026538784616,0.7964413017034531,-0.009489897638559341,0.18750858064740897,3e-05,0.1,0.001877291,,
169984,83,341,-5.342183880000001,546.84,498,0.01162109375,820,-4.500404942035675,-0.004877183146891184,0.879641704261303,0.006268829107284546,0.2549995699897408,3e-05,0.1,0.0012532176,,
170000,,,,,,0.00634765625,830,-4.5062855064868925,-0.005065235210349783,0.9297496229410172,0.08775384724140167,0.516708803549409,3e-05,0.1,0.001095005,-14.670257472991944,577.2
172032,84,337,-6.266878890000002,548.49,510,,,,,,,,,,,,
174080,85,337,-5.76834597,546.75,515,0.0,840,-4.50528854727745,-0.001849161674908828,0.927222914993763,0.5960118770599365,1.7678529091179371,3e-05,0.1,0.00017789079,,
176128,86,338,-6.641993030000001,552.99,520,0.04091796875,850,-4.506125193834305,-0.006757305919018108,0.8703996986150742,-0.008111994713544846,0.15236039636656643,3e-05,0.1,0.0019480541,,
178176,87,338,-6.700345890000002,553.91,525,0.0,860,-4.494339370727539,-0.00021281734807416798,0.1235651969909668,4.628147602081299,31.43499295413494,3e-05,0.1,3.6673708e-05,,
180000,,,,,,0.0,870,-4.494452381134034,-0.0024112847706419414,0.9612833075225353,0.11653376370668411,0.6081380693241953,3e-05,0.1,0.00035184727,-16.0537260055542,516.4
180224,88,336,-7.79978745,555.97,536,,,,,,,,,,,,
182272,89,337,-7.753789570000001,553.37,540,0.003076171875,880,-4.492956554889679,-0.0028729825135087594,0.9277818873524666,0.11736397445201874,3.2153628069907425,3e-05,0.1,0.00044618244,,
184320,90,337,-8.26112968,554.67,545,0.000341796875,890,-4.495745831727982,-0.0021949232643237336,0.9275942221283913,1.5125131607055664,3.5172061398625374,3e-05,0.1,0.00026866072,,
186368,91,338,-8.10514244,554.46,550,0.00029296875,900,-4.482469749450684,-0.0024686183780431746,0.9496350325644016,0.1578739732503891,0.8034073863178491,3e-05,0.1,0.00043052403,,
188416,92,339,-8.585130209999999,550.73,555,0.001318359375,910,-4.479332184791565,-0.002777585753938183,0.777503177523613,3.0462169647216797,9.62162126004696,3e-05,0.1,0.0005332903,,
190000,,,,,,0.00048828125,920,-4.4672435343265535,-0.002386574834235944,0.9337814450263977,0.15892305970191956,1.3165409933775662,3e-05,0.1,0.00042638232,3.1276528596878053,491.6
190464,93,337,-8.735970259999998,552.83,564,,,,,,,,,,,,
192512,94,338,-9.62347144,553.3,569,0.0,930,-4.467902582883835,-0.000727791417739354,0.9502792507410049,0.11435478180646896,0.5408688316121697,3e-05,0.1,7.291185e-05,,
194560,95,338,-9.16978438,557.66,574,0.0,940,-4.470350521802902,-0.0012971178875886835,0.9089224934577942,0.9538227319717407,1.191943671181798,3e-05,0.1,0.00011337758,,
196608,96,339,-9.17816717,557.25,579,0.01044921875,950,-4.472724306583404,-0.004696198654710315,0.9074344411492348,0.13626685738563538,0.4021914219483733,3e-05,0.1,0.0012455407,,
198656,97,340,-9.45964545,558.25,584,0.00166015625,960,-4.478542006015777,-0.004026525796507485,0.8807466328144073,0.14725209772586823,0.48233100986108185,3e-05,0.1,0.00077634014,,
200000,,,,,,0.00791015625,970,-4.470939886569977,-0.004223094711778686,0.7601630091667175,0.14655178785324097,0.5485235027968883,3e-05,0.1,0.0009511273,10.386701965332032,496.0
200704,98,337,-9.1881462,557.71,594,,,,,,,,,,,,
202752,99,338,-9.54919454,560.87,599,0.031494140625,980,-4.478265285491943,-0.0063377028272952884,0.8707598596811295,0.0409819670021534,0.44651689752936363,3e-05,0.1,0.0018744634,,
204800,100,339,-9.322055120000002,565.2,604,0.000146484375,990,-4.474530178308487,-0.0027505830657901242,0.9036854729056358,1.8493435382843018,3.784426588192582,3e-05,0.1,0.00041531134,,
206848,101,339,-9.422131150000002,564.16,608,0.000341796875,1000,-4.467631965875626,-0.0022573194932192565,0.6956166625022888,0.19523750245571136,0.723977931868285,3e-05,0.1,0.0004174325,,
208896,102,340,-8.878472639999998,563.55,613,0.0,1010,-4.462630206346512,-0.000860396574717015,0.8943782895803452,0.6343549489974976,1.5775099195539952,3e-05,0.1,4.668595e-05,,
210000,,,,,,0.00244140625,1020,-4.485406929254532,-0.004229210579069331,0.8958177343010902,0.006388776004314423,0.4128051334992051,3e-05,0.1,0.00067547173,-15.460495972633362,603.2
210944,103,337,-9.592677420000001,559.51,624,,,,,,,,,,,,
212992,104,338,-11.11236643,558.27,629,0.0,1030,-4.476547360420227,-0.0017180596929392777,0.9395705722272396,0.19049128890037537,1.5490964822471143,3e-05,0.1,0.00019429773,,
215040,105,339,-11.67393907,556.51,634,9.765625e-05,1040,-4.479246306419372,-0.002866771593107842,0.9637237377464771,0.2648088335990906,1.697509853169322,3e-05,0.1,0.00030589613,,
217088,106,339,-11.118871030000001,554.78,638,0.0,1050,-4.482033169269561,-0.0013783224916551263,0.9261574000120163,0.5357360243797302,1.6023520685732364,3e-05,0.1,0.00014284794,,
219136,107,340,-11.492687920000003,557.99,644,0.015185546875,1060,-4.498525261878967,-0.005089105568185914,0.8282033652067184,0.12986716628074646,0.4491400824859738,3e-05,0.1,0.0012852452,,
220000,,,,,,0.0,1070,-4.474010396003723,-0.0024058473369223065,0.944366492331028,3.0004611015319824,2.996382347121835,3e-05,0.1,0.00034661815,-5.554452610015869,580.4
221184,108,337,-11.946978380000001,557.61,654,,,,,,,,,,,,
223232,109,338,-12.369475129999998,553.92,659,0.005712890625,1080,-4.480182665586471,-0.003917365096276626,0.9144051522016525,0.24094940721988678,0.5777657864615321,3e-05,0.1,0.0007234203,,
225280,110,339,-12.67726107,552.71,664,0.005224609375,1090,-4.476754420995713,-0.0034519452950917185,0.8643398582935333,0.19831883907318115,0.6498587153851986,3e-05,0.1,0.00054127845,,
227328,111,339,-11.48486586,549.6,669,0.0294921875,1100,-4.488990527391434,-0.005717871303204447,0.8935374841094017,-0.017691463232040405,0.156678843870759,3e-05,0.1,0.0014661953,,
229376,112,340,-11.60895516,554.03,674,0.023828125,1110,-4.508111572265625,-0.0062981596391182395,0.7764971852302551,0.16775065660476685,0.49335609897971155,3e-05,0.1,0.0015221769,,
230000,,,,,,0.0,1120,-4.488990920782089,-0.0020714128768304363,0.9181549251079559,0.5491111278533936,1.2987852614372968,3e-05,0.1,0.00025813145,-8.929437303543091,555.2
231424,113,338,-11.41399883,556.04,684,,,,,,,,,,,,
233472,114,338,-10.65574067,553.25,689,0.0,1130,-4.488537102937698,-0.001242116914363578,0.861283004283905,1.7683993577957153,3.13943924754858,3e-05,0.1,8.2091196e-05,,
235520,115,339,-9.79764092,553.77,694,0.009130859375,1140,-4.508547043800354,-0.003974410072260071,0.7128456234931946,0.10137549042701721,0.5019361919723451,3e-05,0.1,0.0010571422,,
237568,116,339,-9.201149300000003,554.84,699,0.0,1150,-4.496858042478562,-0.002066654956433922,0.9199740886688232,0.3170202672481537,1.0444348316639662,3e-05,0.1,0.00017079338,,
239616,117,340,-9.11517694,555.9,704,0.01123046875,1160,-4.5102363467216495,-0.0053242998197674755,0.8148201256990433,0.20583662390708923,0.4285087950527668,3e-05,0.1,0.0012599352,,
240000,,,,,,0.0,1170,-4.499686706066131,-0.002308363583870232,0.8697665929794312,0.32372814416885376,0.9469426970928907,3e-05,0.1,0.0002693451,-11.185060501098633,552.8
241664,118,338,-8.09487243,559.26,714,,,,,,,,,,,,
243712,119,338,-8.27715294,559.15,719,0.010205078125,1180,-4.4892877578735355,-0.005581665140925907,0.7981793731451035,0.048147670924663544,0.2979165330529213,3e-05,0.1,0.0011321241,,
245760,120,339,-8.15822211,555.95,724,0.0,1190,-4.489646422863006,-0.0022925413795746863,0.9531052969396114,0.5788736343383789,1.709964172542095,3e-05,0.1,0.00018920406,,
247808,121,339,-8.77813858,555.7,729,0.0,1200,-4.492044115066529,-0.0020711924487841317,0.9301750883460045,0.518104076385498,1.5295322559773923,3e-05,0.1,0.00018088415,,
249856,122,340,-9.71402531,552.42,734,0.0,1210,-4.4856917560100555,-0.0004426849365700036,0.5841591656208038,15.535109519958496,42.458630913496016,3e-05,0.1,1.6998354e-05,,
250000,,,,,,0.0,1220,-4.48432686328888,-0.001639790605986491,0.9281421452760696,0.3421936333179474,2.4724068373441694,3e-05,0.1,0.00011759563,-10.216762685775757,515.0
251904,123,338,-9.71372101,553.06,744,,,,,,,,,,,,
253952,124,338,-9.454805020000002,554.58,749,0.06884765625,1230,-4.504162365198136,-0.009711518313270062,0.7201555371284485,-0.05161891505122185,0.050208260409999636,3e-05,0.1,0.0029620049,,
256000,125,339,-9.70270058,558.72,754,0.015283203125,1240,-4.4990419209003445,-0.006016357010230422,0.9071047529578209,0.03018154576420784,0.2824915383011103,3e-05,0.1,0.0012251505,,
258048,126,340,-9.59074074,555.41,758,0.0,1250,-4.4920440196990965,-0.0016093044279841707,0.7434060275554657,0.19974632561206818,1.350497744604945,3e-05,0.1,0.00015864469,,
260000,,,,,,0.0,1260,-4.505149257183075,-0.001926634175470099,0.7982125580310822,0.22891707718372345,0.850553072988987,3e-05,0.1,0.00018284027,-4.435826349258423,531.4
260096,127,338,-9.49874226,551.27,768,,,,,,,,,,,,
262144,128,338,-8.305105529999999,557.27,773,0.0,1270,-4.501061552762986,-0.0016131617754581383,0.8851939737796783,0.26591557264328003,0.9646761249750853,3e-05,0.1,9.7382e-05,,
264192,129,339,-7.941005120000001,555.88,778,0.01328125,1280,-4.515882086753845,-0.005487384786829352,0.7776045203208923,0.040333785116672516,0.25925352396443485,3e-05,0.1,0.0015365708,,
266240,130,340,-8.393487920000002,564.02,783,0.0,1290,-4.4971801996231076,-0.0024424818926490842,0.9160903915762901,0.16473166644573212,0.5889999972656369,3e-05,0.1,0.0003886868,,
268288,131,340,-7.24262969,560.96,787,0.0,1300,-4.498683756589889,-0.0010114528733538464,0.8785439878702164,1.9461345672607422,3.252624545991421,3e-05,0.1,3.0596275e-05,,
270000,,,,,,0.01474609375,1310,-4.504445350170135,-0.0044291875616181645,0.8869444504380226,0.137394517660141,0.6265687610022723,3e-05,0.1,0.0011643008,-2.436688995361328,481.2
270336,132,339,-6.38583973,560.44,797,,,,,,,,,,,,
272384,133,339,-6.65834122,562.43,802,0.0052734375,1320,-4.496540874242783,-0.00518260509124957,0.8401098549365997,0.008825857192277908,0.15165559344459326,3e-05,0.1,0.00094588567,,
274432,134,339,-6.28187276,559.45,807,0.0,1330,-4.483734107017517,-0.0016381804714910686,0.9062572792172432,0.1222543716430664,0.5259292906150221,3e-05,0.1,0.00012570934,,
276480,135,340,-6.613981300000002,557.51,812,0.035986328125,1340,-4.5054286360740665,-0.006204287667060271,0.8541828542947769,0.022692762315273285,0.1954075881280005,3e-05,0.1,0.001456995,,
278528,136,340,-7.572430229999998,564.85,816,0.0,1350,-4.488082671165467,-0.0012479094075388275,0.9016785770654678,0.6671581864356995,2.2819177217781546,3e-05,0.1,8.87138e-05,,
