time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/entropy_loss,train/loss,train/n_updates,train/clip_fraction,train/explained_variance,train/approx_kl,train/value_loss,eval/mean_reward,eval/mean_ep_length
291,-10.27240703,82,167936,68.04,575,-0.008437427093303996,0.0003,0.2,-1.0254041111096739,1.2361602783203125,810,0.0791015625,0.7701597809791565,0.008771518,4.162561304867268,,
295,-10.020077999999998,83,169984,68.46,575,-0.011098922688688617,0.0003,0.2,-1.0218449003994465,1.0943094491958618,820,0.10869140625,0.8296765089035034,0.013406139,3.763177035935223,,
,,,170000,,,-0.007738095146487467,0.0003,0.2,-0.9995949367061258,1.2596125602722168,830,0.106982421875,0.7894382476806641,0.010816272,3.7081288285553455,-14.01147394180298,73.2
299,-8.75879189,84,172032,68.95,574,,,,,,,,,,,,
302,-8.291753420000001,85,174080,68.32,574,-0.008519478410016745,0.0003,0.2,-1.0209044463932515,0.9981516599655151,840,0.117138671875,0.8112685680389404,0.0108658,2.9011535350233317,,
306,-7.59486268,86,176128,67.42,574,-0.00822026002279017,0.0003,0.2,-0.9858795346692204,1.0933151245117188,850,0.084521484375,0.6729490160942078,0.008965761,3.62645560503006,,
309,-8.52529003,87,178176,66.45,575,-0.007973741018213331,0.0003,0.2,-0.9779237637296319,0.5075048208236694,860,0.161279296875,0.6623179316520691,0.024143094,2.52491410728544,,
,,,180000,,,-0.009173683112021536,0.0003,0.2,-0.9657424272969365,3.0980031490325928,870,0.086181640625,0.7835245132446289,0.008109046,4.7557135749608275,-13.795643830299378,67.2
313,-9.48117857,88,180224,67.09,574,,,,,,,,,,,,
317,-9.962040199999999,89,182272,66.85,574,-0.007667372783180327,0.0003,0.2,-0.9769152637571097,3.124687671661377,880,0.0560546875,0.6882284283638,0.009712441,7.296016452088952,,
320,-8.51749255,90,184320,66.7,574,-0.006939973980479408,0.0003,0.2,-1.0171066753566265,1.765906810760498,890,0.100341796875,0.6088067293167114,0.011988552,4.0918147213757035,,
324,-7.417961239999999,91,186368,67.09,575,-0.010394686037034261,0.0003,0.2,-0.9834215519949794,1.065413475036621,900,0.113818359375,0.7770217657089233,0.0138256885,2.5396460162475707,,
327,-7.543191109999999,92,188416,66.96,575,-0.009127816793625242,0.0003,0.2,-0.9668766813352704,0.77541583776474,910,0.087646484375,0.6359443664550781,0.008833172,3.796000961214304,,
,,,190000,,,-0.007565941593929893,0.0003,0.2,-0.9653040125966073,1.4833424091339111,920,0.085498046875,0.720740556716919,0.010629166,5.297636729106307,-6.9562002658844,63.0
331,-8.00087845,93,190464,67.66,574,,,,,,,,,,,,
334,-7.894175359999999,94,192512,67.57,575,-0.009555698504118481,0.0003,0.2,-0.991328976303339,1.824414610862732,930,0.09228515625,0.7898051142692566,0.010048858,3.658835464157164,,
338,-7.209287360000001,95,194560,67.3,575,-0.0063757902433280835,0.0003,0.2,-0.9857896883040667,0.6096941232681274,940,0.087939453125,0.8209904432296753,0.009339782,2.9035861982032656,,
341,-7.58571418,96,196608,67.42,575,-0.009403612160531339,0.0003,0.2,-0.9877593943849206,0.538838803768158,950,0.128369140625,0.8074886798858643,0.017968899,2.9128850476816295,,
345,-7.73097746,97,198656,67.92,575,-0.009904943000583444,0.0003,0.2,-0.9462295865640045,0.6785118579864502,960,0.1212890625,0.6999623775482178,0.00925153,3.0125710057094692,,
,,,200000,,,-0.006896235325257294,0.0003,0.2,-0.9470458697527647,0.838448166847229,970,0.072314453125,0.8147901296615601,0.009385052,4.179407524690032,-4.536575698852539,64.8
348,-6.096464309999999,98,200704,67.63,575,,,,,,,,,,,,
